,0,1,2,3,4,5,6,7,8,9,10,11,12
0,Cef Ticker,Current price,52 Wk Avg price,52 Wk High price,52 Wk Low price,Current Nav,52 Wk Avg Nav,52 Wk High Nav,52 Wk Low Nav,Current P/D,52 Wk Avg P/D,52 Wk High P/D,52 Wk Low P/D
1,PHYS,$14.09,$14.19,$15.28,$13.23,$14.28,$14.37,$15.26,$13.48,-1.33%,-1.20%,0.56%,-3.27%
2,NEA,$15.09,$15.27,$16.00,$14.22,$15.73,$15.97,$16.29,$15.65,-4.07%,-4.33%,-0.13%,-9.63%
3,CEF,$17.33,$18.30,$20.38,$16.75,$17.99,$18.85,$20.46,$17.40,-3.67%,-2.95%,0.31%,-4.93%
4,DNP,$10.94,$10.53,$11.00,$9.75,$9.86,$9.49,$10.04,$8.46,10.90%,11.04%,22.28%,3.83%
5,NVG,$17.18,$17.34,$18.27,$15.90,$17.30,$17.51,$17.91,$17.10,-0.69%,-0.99%,3.23%,-6.85%
6,BIGZ,$14.14,,$23.05,$13.40,$15.13,,$21.01,$15.13,-6.54%,,,
7,NAD,$15.74,$15.65,$16.45,$14.60,$16.13,$16.35,$16.68,$16.01,-2.42%,-4.29%,-0.12%,-8.90%
8,PSLV,$7.68,$8.87,$11.08,$7.45,$7.93,$8.99,$10.51,$7.71,-3.15%,-1.44%,2.48%,-6.90%
9,EXG,$10.48,$9.96,$10.81,$8.58,$10.35,$10.11,$10.58,$9.18,1.26%,-1.52%,2.80%,-7.58%
10,CSQ,$18.72,$17.95,$19.89,$15.26,$18.50,$17.61,$19.17,$15.58,1.19%,1.87%,6.43%,-3.06%
11,BSTZ,$34.24,$38.75,$43.76,$32.07,$35.68,$41.16,$44.87,$35.68,-4.04%,-5.86%,0.51%,-12.68%
12,BMEZ,$23.61,$27.54,$30.94,$22.60,$24.50,$29.20,$32.95,$24.50,-3.63%,-5.67%,0.44%,-11.15%
13,UTF,$28.35,$27.98,$29.95,$24.81,$27.67,$26.55,$28.28,$23.74,1.55%,5.44%,12.38%,-0.25%
14,GDV,$26.83,$25.52,$27.61,$21.25,$29.68,$28.38,$30.37,$24.70,-9.60%,-10.14%,-7.89%,-14.67%
15,NZF,$16.68,$16.79,$17.59,$15.55,$17.03,$17.13,$17.58,$16.61,-2.06%,-1.96%,1.10%,-6.96%
16,RQI,$17.35,$15.28,$18.45,$11.96,$17.51,$15.71,$18.27,$12.46,-0.91%,-2.83%,0.11%,-6.62%
17,ETY,$14.72,$13.82,$15.06,$11.89,$14.25,$13.75,$14.60,$12.58,3.30%,0.39%,4.08%,-5.32%
18,NAC,$15.11,$15.41,$16.22,$14.36,$15.85,$16.19,$16.53,$15.85,-4.67%,-4.80%,-0.68%,-9.76%
19,BCAT,$19.15,$20.93,$23.87,$18.20,$20.67,$21.37,$21.94,$20.39,-7.35%,-1.71%,10.70%,-10.82%
20,EVT,$29.21,$27.31,$29.86,$22.92,$29.09,$27.59,$29.32,$24.18,0.41%,-1.10%,3.10%,-6.54%
21,ADX,$19.06,$19.37,$22.33,$17.03,$22.07,$22.49,$25.23,$19.83,-13.64%,-13.87%,-11.58%,-14.79%
22,NUV,$10.20,$11.23,$11.97,$10.15,$10.63,$10.73,$10.88,$10.59,-4.05%,4.68%,9.97%,-4.49%
23,NTG,$32.26,$28.54,$33.86,$22.40,$39.60,$36.50,$42.64,$29.43,-18.54%,-21.87%,-16.80%,-25.47%
24,JPS,$9.64,$9.73,$10.07,$9.12,$9.65,$9.79,$9.97,$9.58,-0.10%,-0.69%,1.33%,-5.88%
25,RVT,$18.88,$18.53,$20.00,$16.09,$19.69,$20.64,$22.00,$18.90,-4.11%,-10.20%,-3.45%,-13.45%
26,UTG,$34.33,$34.05,$36.50,$30.50,$33.95,$33.50,$36.07,$29.95,1.12%,1.65%,4.88%,-0.63%
27,BDJ,$10.12,$9.79,$10.69,$8.21,$10.44,$10.27,$10.75,$9.17,-3.07%,-4.78%,-0.37%,-10.74%
28,USA,$8.32,$8.25,$9.46,$6.74,$8.08,$7.97,$8.56,$7.05,2.97%,3.35%,15.27%,-7.02%
29,GAB,$7.06,$6.88,$7.57,$6.05,$6.42,$6.49,$6.95,$5.76,9.97%,6.13%,15.37%,0.00%
30,PDO,$19.51,,$23.24,$19.19,$19.32,,$20.66,$19.24,0.98%,,,
31,PDI,$26.48,$27.55,$29.75,$24.54,$24.32,$24.86,$25.41,$24.14,8.88%,10.78%,17.99%,2.32%
32,BTT,$25.56,$25.81,$27.08,$24.82,$26.54,$26.95,$27.33,$26.54,-3.69%,-4.24%,-2.57%,-6.86%
33,TY,$32.38,$33.43,$35.91,$29.53,$36.34,$37.36,$39.85,$33.56,-10.90%,-10.52%,-8.30%,-12.35%
34,PTY,$16.57,$18.72,$21.66,$15.89,$14.15,$14.25,$14.52,$13.87,17.10%,31.36%,52.21%,14.81%
35,ETG,$22.41,$20.69,$22.85,$17.17,$22.57,$21.74,$23.17,$19.23,-0.71%,-4.94%,0.27%,-10.08%
36,DSL,$16.31,$17.60,$18.55,$15.79,$17.05,$18.15,$18.63,$17.05,-4.34%,-3.07%,0.27%,-8.06%
37,BXMX,$14.91,$14.14,$15.16,$12.19,$15.20,$14.74,$15.40,$13.65,-1.91%,-4.09%,-0.74%,-9.64%
38,EVV,$13.12,$12.99,$13.49,$12.26,$13.12,$13.49,$13.84,$13.09,0.00%,-3.69%,0.53%,-9.99%
39,ETV,$16.38,$16.09,$16.86,$14.77,$15.88,$15.50,$16.24,$14.31,3.15%,3.81%,7.26%,1.48%
40,NFJ,$15.68,$14.83,$16.19,$13.03,$17.02,$16.52,$17.75,$15.00,-7.87%,-10.22%,-7.87%,-13.80%
41,FPF,$24.50,$24.69,$26.26,$22.64,$24.38,$24.68,$25.26,$24.07,0.49%,0.02%,4.09%,-6.05%
42,HYT,$12.09,$12.02,$12.69,$11.00,$11.88,$12.11,$12.35,$11.81,1.77%,-0.75%,3.37%,-7.44%
43,NMZ,$14.97,$14.89,$15.86,$13.90,$14.62,$14.58,$14.97,$14.06,2.39%,2.20%,5.61%,-1.13%
44,BIF,$14.80,$13.14,$14.85,$10.93,$17.47,$15.67,$17.47,$13.42,-15.28%,-16.15%,-13.66%,-19.46%
45,BBN,$24.89,$25.63,$27.12,$23.63,$24.56,$25.23,$26.29,$23.74,1.34%,1.57%,5.77%,-2.35%
46,RNP,$28.61,$25.88,$29.46,$21.01,$28.37,$26.47,$29.24,$22.69,0.85%,-2.27%,1.85%,-6.45%
47,BTZ,$14.37,$15.08,$15.95,$13.97,$14.89,$15.44,$15.79,$14.89,-3.49%,-2.33%,1.40%,-7.14%
48,PTA,$23.99,$25.03,$26.00,$23.14,$25.43,$25.80,$26.25,$25.24,-6.10%,-2.97%,-0.35%,-8.51%
49,QQQX,$29.16,$28.65,$31.00,$25.50,$28.98,$28.45,$30.28,$25.94,0.62%,0.69%,4.30%,-4.69%
50,NRK,$13.66,$13.85,$14.45,$13.27,$14.91,$15.09,$15.39,$14.81,-8.38%,-8.22%,-5.62%,-11.93%
51,ETW,$11.08,$10.73,$11.37,$9.51,$10.84,$10.76,$11.10,$10.16,2.21%,-0.31%,3.51%,-6.99%
52,EOS,$23.40,$23.10,$25.70,$20.52,$22.76,$22.84,$24.15,$20.78,2.81%,1.09%,3.89%,-1.59%
53,BST,$48.45,$54.68,$62.16,$47.00,$49.21,$54.44,$58.68,$49.07,-1.54%,0.56%,11.94%,-7.48%
54,CET,$44.02,$40.40,$45.14,$31.93,$48.79,$48.04,$53.15,$40.05,-9.78%,-15.92%,-8.04%,-19.75%
55,CHY,$15.63,$15.80,$17.09,$13.92,$15.14,$16.03,$17.03,$14.98,3.24%,-1.37%,3.25%,-10.73%
56,IGR,$9.41,$8.49,$9.89,$6.66,$10.02,$9.30,$10.48,$7.81,-6.09%,-8.80%,-5.78%,-14.97%
57,AOD,$10.28,$9.89,$10.50,$8.87,$11.09,$10.92,$11.30,$10.21,-7.66%,-9.52%,-6.43%,-14.97%
58,CLM,$14.33,$12.79,$14.75,$10.75,$10.08,$10.13,$10.54,$9.60,42.16%,26.43%,42.34%,8.95%
59,GAM,$43.38,$42.31,$46.75,$35.89,$51.43,$49.96,$55.36,$43.48,-15.81%,-15.28%,-13.56%,-16.72%
60,CHI,$14.69,$15.02,$16.44,$13.32,$14.34,$15.18,$16.13,$14.20,2.44%,-1.05%,3.76%,-11.33%
61,HQH,$23.34,$25.07,$28.05,$22.59,$22.92,$25.63,$28.49,$22.92,1.83%,-2.08%,4.60%,-11.57%
62,AWF,$12.04,$12.13,$12.63,$11.53,$12.68,$12.93,$13.11,$12.65,-5.28%,-6.19%,-2.25%,-10.11%
63,KYN,$8.17,$7.81,$9.30,$6.26,$9.35,$8.85,$10.00,$7.37,-12.62%,-11.86%,-5.82%,-16.56%
64,JPC,$9.85,$9.66,$10.07,$9.02,$9.75,$9.79,$9.98,$9.59,1.03%,-1.34%,1.41%,-5.89%
65,THQ,$23.93,$23.11,$25.92,$20.01,$23.87,$23.69,$25.26,$21.46,0.25%,-2.54%,2.58%,-8.64%
66,MYI,$14.41,$14.59,$15.19,$13.75,$15.16,$15.38,$15.68,$15.06,-4.95%,-5.13%,-2.07%,-8.80%
67,EIM,$13.40,$13.50,$14.01,$12.96,$13.82,$14.14,$14.46,$13.82,-3.04%,-4.48%,-1.69%,-8.19%
68,CII,$21.57,$20.34,$22.30,$17.27,$21.83,$21.11,$22.26,$18.98,-1.19%,-3.70%,0.28%,-9.52%
69,FFC,$21.38,$22.55,$23.79,$21.22,$20.89,$21.10,$21.64,$20.32,2.35%,6.88%,13.46%,2.16%
70,FAX,$3.86,$4.24,$4.61,$3.79,$4.24,$4.60,$4.90,$4.24,-8.96%,-7.85%,-2.94%,-13.14%
71,RA,$21.47,$21.30,$22.70,$17.89,$19.98,$20.20,$20.96,$19.58,7.46%,5.39%,10.03%,-9.78%
72,VMO,$13.70,$13.50,$14.09,$12.60,$13.50,$13.70,$13.99,$13.43,1.48%,-1.45%,2.11%,-6.44%
73,NDMO,$15.70,$16.29,$17.94,$15.10,$15.71,$15.94,$16.39,$15.53,-0.06%,2.23%,9.03%,-2.21%
74,HTD,$25.62,$23.90,$26.43,$20.58,$25.98,$24.49,$25.98,$21.97,-1.39%,-2.51%,2.82%,-8.60%
75,WDI,$18.40,,$20.60,$18.07,$19.59,,$20.12,$19.55,-6.07%,,,
76,GOF,$19.16,$20.48,$22.06,$17.76,$16.61,$16.97,$17.43,$16.42,15.35%,20.67%,29.08%,8.31%
77,PML,$14.42,$14.72,$15.35,$13.55,$12.25,$12.44,$12.77,$12.14,17.71%,18.34%,22.02%,13.51%
78,OXLC,$8.15,$7.14,$8.53,$5.64,$6.97,$6.16,$6.97,$5.24,20.43%,16.11%,34.71%,3.44%
79,BTO,$48.18,$40.02,$49.12,$30.44,$42.63,$37.31,$42.63,$29.15,13.02%,7.18%,17.73%,0.29%
80,JQC,$6.56,$6.52,$6.81,$6.17,$6.89,$6.97,$7.14,$6.83,-4.79%,-6.53%,-3.00%,-10.45%
81,DLY,$18.64,$19.41,$20.26,$17.99,$19.64,$20.26,$20.56,$19.64,-5.09%,-4.16%,-1.20%,-8.48%
82,BCX,$9.76,$9.22,$10.22,$7.77,$10.39,$9.67,$10.40,$8.38,-6.06%,-4.70%,0.55%,-12.24%
83,AIO,$24.95,$27.32,$29.97,$24.25,$25.66,$29.21,$31.08,$25.66,-2.77%,-6.46%,0.17%,-10.26%
84,BHK,$15.54,$16.20,$17.36,$14.97,$15.19,$15.97,$16.37,$15.18,2.30%,1.40%,7.38%,-4.52%
85,PHK,$6.27,$6.54,$7.18,$5.95,$5.78,$5.86,$5.98,$5.69,8.48%,11.59%,20.20%,3.92%
86,NMCO,$15.50,$15.02,$17.31,$13.15,$15.63,$15.34,$15.94,$14.34,-0.83%,-2.16%,0.94%,-7.32%
87,NIE,$29.09,$29.68,$32.27,$26.34,$31.58,$32.92,$35.83,$29.93,-7.88%,-9.81%,-7.81%,-11.83%
88,BOE,$12.18,$11.96,$12.82,$10.71,$13.30,$13.03,$13.49,$12.02,-8.42%,-8.24%,-5.19%,-12.06%
89,WIW,$12.73,$12.98,$13.93,$11.92,$13.82,$14.33,$14.89,$13.63,-7.89%,-9.42%,-4.16%,-13.49%
90,HFRO,$11.03,$10.94,$12.15,$9.66,$13.77,$13.68,$14.05,$12.94,-19.90%,-20.07%,-12.87%,-27.91%
91,PDT,$16.16,$16.13,$17.69,$13.46,$15.17,$14.55,$15.18,$13.16,6.53%,10.75%,21.02%,-1.53%
92,EOI,$19.93,$18.30,$20.34,$15.76,$19.24,$18.46,$19.83,$16.62,3.59%,-0.94%,4.79%,-4.91%
93,EMD,$12.75,$13.60,$14.30,$12.49,$13.52,$14.52,$15.30,$13.52,-5.70%,-6.30%,-1.85%,-11.42%
94,IIM,$16.30,$16.29,$17.29,$15.03,$16.52,$16.78,$17.10,$16.46,-1.33%,-2.97%,2.40%,-8.27%
95,LDP,$26.60,$26.61,$27.75,$24.74,$25.30,$26.00,$26.44,$25.23,3.36%,2.31%,6.25%,-3.84%
96,FTHY,$20.43,$20.18,$21.24,$19.28,$20.21,$20.95,$21.53,$20.13,1.09%,-3.65%,2.38%,-9.89%
97,NKX,$15.67,$15.98,$16.77,$14.83,$16.46,$16.80,$17.16,$16.44,-4.80%,-4.86%,-0.12%,-9.48%
98,CCD,$30.00,$31.44,$34.00,$28.12,$28.92,$30.96,$33.41,$28.55,3.73%,1.62%,11.35%,-10.19%
99,PFN,$9.61,$10.33,$11.45,$9.20,$9.12,$9.33,$9.55,$9.01,5.37%,10.76%,21.66%,3.10%
100,VKQ,$13.32,$13.42,$14.15,$12.47,$13.52,$13.73,$14.01,$13.45,-1.48%,-2.26%,2.24%,-8.00%
101,VGM,$13.59,$13.73,$14.36,$12.70,$13.92,$14.14,$14.43,$13.85,-2.37%,-2.84%,0.99%,-8.20%
102,PCN,$17.24,$18.02,$19.47,$16.65,$14.31,$14.40,$14.68,$14.06,20.48%,25.15%,34.93%,18.47%
103,IQI,$13.19,$13.27,$13.98,$12.41,$13.60,$13.82,$14.09,$13.52,-3.01%,-3.98%,-0.51%,-8.74%
104,GIM,$5.14,$5.46,$5.69,$5.01,$5.42,$5.76,$6.09,$5.39,-5.17%,-5.21%,-1.08%,-9.69%
105,NID,$14.87,$14.58,$15.10,$13.69,$14.86,$14.76,$15.01,$14.38,0.07%,-1.26%,0.88%,-4.85%
106,BFK,$15.11,$15.15,$15.92,$14.33,$14.51,$14.75,$15.12,$14.39,4.14%,2.69%,5.93%,-0.96%
107,ETJ,$10.68,$11.00,$11.74,$10.16,$10.21,$10.34,$10.55,$9.99,4.60%,6.35%,13.24%,0.98%
108,MYD,$14.61,$14.78,$15.60,$13.87,$15.06,$15.29,$15.69,$14.92,-2.99%,-3.35%,0.78%,-7.79%
109,BIT,$17.90,$18.38,$19.21,$16.75,$17.60,$18.26,$18.62,$17.53,1.70%,0.66%,5.76%,-7.14%
110,BGY,$6.36,$6.24,$6.70,$5.81,$6.76,$6.73,$7.02,$6.36,-5.92%,-7.30%,-3.78%,-10.24%
111,VVR,$4.36,$4.31,$4.53,$3.97,$4.64,$4.63,$4.72,$4.51,-6.03%,-6.85%,-3.64%,-11.09%
112,VCV,$13.67,$13.53,$14.49,$12.52,$13.52,$13.70,$13.96,$13.43,1.11%,-1.20%,5.66%,-6.79%
113,DIAX,$17.82,$16.78,$17.97,$14.55,$18.20,$17.79,$18.36,$16.42,-2.09%,-5.70%,-1.10%,-11.29%
114,HIO,$5.05,$5.15,$5.43,$4.88,$5.28,$5.44,$5.53,$5.28,-4.36%,-5.44%,-2.22%,-10.89%
115,AVK,$18.43,$18.43,$19.91,$16.10,$17.69,$19.95,$20.78,$17.69,4.18%,-7.56%,4.18%,-16.05%
116,NXJ,$15.08,$15.12,$15.95,$14.01,$16.38,$16.68,$17.04,$16.33,-7.94%,-9.28%,-5.11%,-15.16%
117,GGN,$3.81,$3.78,$4.32,$3.31,$3.90,$3.96,$4.30,$3.67,-2.31%,-4.45%,2.00%,-14.29%
118,MUC,$15.48,$15.54,$16.47,$14.53,$15.60,$15.93,$16.24,$15.60,-0.77%,-2.40%,3.23%,-7.82%
119,MVF,$9.55,$9.48,$9.90,$8.85,$9.88,$9.99,$10.22,$9.72,-3.34%,-5.11%,-1.59%,-9.14%
120,NBB,$22.52,$22.92,$24.13,$21.52,$22.21,$22.77,$23.51,$21.81,1.40%,0.68%,4.61%,-3.13%
121,GHY,$15.01,$15.30,$16.10,$14.26,$16.05,$16.53,$16.90,$15.99,-6.48%,-7.44%,-4.34%,-12.36%
122,BGB,$13.62,$13.62,$14.14,$12.52,$14.46,$14.61,$14.76,$14.34,-5.81%,-6.82%,-3.97%,-11.65%
123,NRGX,$13.51,$11.58,$14.57,$8.28,$15.97,$13.59,$17.06,$10.51,-15.40%,-14.88%,-11.03%,-20.77%
124,HPS,$18.53,$18.56,$19.89,$16.34,$17.99,$17.97,$18.49,$16.95,3.00%,3.21%,8.27%,-4.84%
125,JFR,$10.33,$9.82,$10.45,$8.88,$10.45,$10.39,$10.55,$10.17,-1.15%,-5.47%,-0.76%,-11.80%
126,IFN,$21.84,$21.85,$23.78,$19.43,$23.70,$24.24,$26.68,$22.05,-8.52%,-9.86%,-5.98%,-14.64%
127,THW,$15.67,$16.30,$17.92,$14.29,$15.04,$15.39,$16.22,$14.41,4.19%,5.92%,18.55%,-1.72%
128,STK,$36.46,$33.55,$39.26,$26.73,$34.10,$32.74,$36.15,$28.75,6.92%,2.38%,9.79%,-4.05%
129,MUI,$15.11,$15.36,$17.40,$14.47,$15.74,$16.06,$16.35,$15.74,-4.00%,-4.37%,-0.31%,-10.03%
130,CHW,$9.84,$10.33,$11.39,$9.22,$9.57,$9.97,$10.55,$9.41,2.82%,3.62%,13.15%,-3.71%
131,JPI,$25.63,$25.14,$26.48,$23.48,$24.74,$25.00,$25.51,$24.41,3.60%,0.59%,4.37%,-3.58%
132,IGD,$6.14,$5.88,$6.37,$5.24,$6.61,$6.40,$6.70,$5.96,-7.11%,-8.27%,-4.84%,-13.61%
133,MMD,$21.06,$21.99,$24.50,$20.50,$20.83,$21.13,$21.52,$20.76,1.10%,4.05%,8.22%,-1.62%
134,BLW,$16.04,$16.79,$17.64,$15.55,$16.37,$16.92,$17.20,$16.36,-2.02%,-0.76%,4.34%,-8.74%
135,MYN,$14.24,$13.92,$14.67,$13.06,$14.22,$14.50,$14.78,$14.17,0.14%,-3.99%,0.77%,-9.55%
136,MUA,$14.75,$15.62,$17.72,$14.20,$14.72,$14.90,$15.23,$14.51,0.20%,4.84%,16.09%,-2.06%
137,MMU,$13.09,$13.27,$13.98,$12.45,$13.92,$14.12,$14.42,$13.81,-5.96%,-6.00%,-1.90%,-9.95%
138,BRW,$4.62,$4.60,$4.81,$4.40,$4.79,$4.92,$5.09,$4.79,-3.55%,-6.64%,-3.55%,-10.10%
139,AWP,$6.52,$6.24,$6.92,$5.15,$6.89,$6.61,$7.15,$5.80,-4.93%,-5.63%,-1.31%,-11.24%
140,NQP,$14.81,$14.79,$15.77,$13.87,$15.97,$16.02,$16.33,$15.64,-7.26%,-7.66%,-4.10%,-11.64%
141,TDF,$16.52,$21.40,$27.64,$16.13,$17.91,$23.41,$30.43,$17.65,-7.76%,-8.60%,-3.16%,-12.08%
142,MFL,$14.62,$14.56,$15.25,$13.71,$15.03,$15.27,$15.59,$14.89,-2.73%,-4.67%,-1.24%,-7.84%
143,CRF,$13.90,$12.45,$14.20,$10.51,$9.70,$9.74,$10.13,$9.24,43.30%,27.93%,44.77%,10.50%
144,EFR,$14.85,$14.23,$15.60,$12.95,$14.26,$14.33,$14.44,$14.17,4.14%,-0.72%,8.22%,-8.28%
145,EVN,$13.76,$13.86,$14.40,$12.92,$14.07,$14.29,$14.56,$14.03,-2.20%,-3.04%,-0.35%,-7.26%
146,BME,$47.52,$47.83,$50.94,$44.00,$45.74,$46.79,$49.07,$43.57,3.89%,2.24%,7.65%,-0.41%
147,DSU,$11.66,$11.27,$12.50,$10.34,$11.58,$11.67,$11.79,$11.54,0.69%,-3.42%,4.57%,-10.89%
148,DPG,$14.16,$14.03,$15.41,$12.34,$13.99,$13.78,$14.71,$12.58,1.22%,1.77%,6.62%,-8.60%
149,HPI,$20.52,$20.80,$22.13,$18.31,$20.28,$20.38,$20.94,$19.22,1.18%,2.03%,6.29%,-6.11%
150,EAD,$8.87,$8.69,$9.22,$8.03,$9.02,$9.14,$9.31,$8.93,-1.66%,-4.93%,0.44%,-10.65%
151,VKI,$11.98,$12.10,$12.88,$10.80,$12.04,$12.24,$12.48,$11.98,-0.50%,-1.07%,4.98%,-8.39%
152,ISD,$16.03,$15.99,$16.66,$14.77,$16.81,$17.10,$17.39,$16.70,-4.64%,-6.47%,-3.39%,-11.52%
153,MCA,$15.49,$15.38,$16.74,$14.29,$15.93,$16.22,$16.52,$15.88,-2.76%,-5.19%,0.19%,-10.08%
154,BUI,$26.96,$25.88,$27.79,$23.82,$25.32,$24.96,$26.22,$23.05,6.48%,3.68%,11.49%,-0.47%
155,DFP,$27.24,$29.17,$31.43,$27.01,$27.06,$27.29,$27.98,$26.26,0.67%,6.91%,15.30%,0.44%
156,CEN,$15.14,$12.79,$16.00,$9.36,$18.36,$16.43,$19.01,$12.94,-17.54%,-22.33%,-15.46%,-29.35%
157,LEO,$8.35,$8.72,$9.50,$8.26,$8.67,$8.77,$8.99,$8.57,-3.69%,-0.58%,6.88%,-5.14%
158,NCV,$5.74,$5.92,$6.41,$5.33,$5.91,$6.32,$6.71,$5.90,-2.88%,-6.29%,-1.91%,-12.67%
159,FSD,$15.41,$15.49,$16.16,$14.61,$15.88,$16.36,$16.63,$15.83,-2.96%,-5.27%,-0.86%,-10.92%
160,NPCT,$17.83,,$20.15,$17.72,$19.17,,$20.33,$19.17,-6.99%,,,
161,ETO,$31.92,$29.45,$34.68,$24.41,$31.29,$29.99,$32.18,$26.46,2.01%,-1.95%,7.51%,-8.67%
162,RMT,$11.17,$11.74,$12.69,$10.44,$12.58,$13.39,$14.36,$12.31,-11.21%,-12.33%,-9.81%,-15.02%
163,MQY,$15.86,$16.40,$17.80,$15.35,$16.25,$16.56,$16.96,$16.18,-2.40%,-0.95%,4.88%,-6.21%
164,FRA,$13.48,$13.18,$13.81,$12.09,$13.90,$13.97,$14.07,$13.84,-3.02%,-5.66%,-1.29%,-12.61%
165,RFMZ,$19.53,,$21.93,$19.25,$20.17,,$21.07,$19.70,-3.17%,,,
166,PMO,$13.73,$13.97,$15.00,$13.10,$13.71,$13.96,$14.27,$13.65,0.15%,0.06%,7.83%,-4.49%
167,MUJ,$15.42,$15.39,$16.28,$14.12,$15.73,$16.05,$16.37,$15.69,-1.97%,-4.13%,-0.06%,-11.18%
168,KTF,$11.78,$11.92,$12.58,$11.22,$12.58,$12.76,$13.03,$12.49,-6.36%,-6.59%,-3.23%,-10.56%
169,GBAB,$22.84,$24.15,$25.80,$22.50,$22.50,$23.02,$23.65,$22.03,1.51%,4.88%,10.16%,0.34%
170,BFZ,$14.31,$14.61,$15.95,$13.68,$15.71,$16.03,$16.36,$15.64,-8.91%,-8.89%,-6.28%,-13.85%
171,ETB,$17.08,$16.16,$17.35,$14.48,$16.41,$15.70,$16.55,$14.37,4.08%,2.95%,6.73%,-0.70%
172,HQL,$18.60,$20.57,$22.70,$18.30,$18.46,$21.25,$24.19,$18.46,0.76%,-3.13%,2.32%,-10.63%
173,ECC,$14.13,$13.20,$15.54,$10.41,$13.61,$12.86,$14.28,$11.10,7.33%,2.45%,13.86%,-10.42%
174,RFI,$17.22,$15.78,$18.02,$12.60,$15.76,$14.81,$16.33,$12.55,9.26%,6.46%,13.32%,0.39%
175,PPT,$4.37,$4.61,$4.89,$4.23,$4.39,$4.71,$5.06,$4.34,-0.46%,-2.17%,1.54%,-8.70%
176,GUT,$8.24,$7.83,$8.32,$6.70,$4.31,$4.29,$4.58,$3.90,91.18%,82.71%,106.92%,50.33%
177,ZTR,$9.43,$9.49,$10.41,$8.52,$9.21,$9.31,$9.63,$8.80,2.39%,1.96%,7.23%,-7.66%
178,NAN,$14.39,$14.63,$15.69,$13.77,$15.40,$15.61,$15.92,$15.30,-6.56%,-6.27%,-2.10%,-10.18%
179,CAF,$20.16,$21.86,$23.83,$19.53,$22.70,$24.76,$26.78,$22.57,-11.19%,-11.70%,-9.05%,-16.87%
180,MHN,$14.09,$14.44,$15.16,$13.61,$14.84,$15.13,$15.44,$14.77,-5.05%,-4.56%,-0.27%,-8.88%
181,MIY,$14.99,$15.22,$16.00,$14.10,$15.52,$15.83,$16.16,$15.51,-3.41%,-3.83%,1.15%,-9.94%
182,HPF,$20.68,$20.95,$22.93,$18.22,$20.14,$20.11,$20.67,$18.93,2.68%,4.11%,11.14%,-5.78%
183,JRI,$15.97,$15.36,$16.50,$13.39,$17.36,$16.82,$17.59,$15.65,-8.01%,-8.73%,-5.37%,-15.33%
184,EFT,$15.09,$14.46,$15.73,$13.19,$14.49,$14.56,$14.66,$14.40,4.14%,-0.65%,6.08%,-7.81%
185,PEO,$17.76,$15.38,$17.77,$11.79,$20.62,$17.80,$20.62,$14.01,-13.87%,-13.66%,-11.14%,-16.90%
186,FFA,$21.12,$19.93,$22.16,$16.63,$21.00,$20.28,$21.49,$18.19,0.57%,-1.79%,4.82%,-7.95%
187,AFB,$14.69,$14.74,$15.58,$13.89,$15.15,$15.46,$15.74,$15.15,-3.04%,-4.65%,-1.63%,-8.88%
188,PMM,$8.37,$8.44,$8.92,$7.92,$8.21,$8.33,$8.53,$8.16,1.95%,1.32%,7.63%,-3.63%
189,MIN,$3.56,$3.68,$3.84,$3.53,$3.56,$3.75,$3.94,$3.56,0.00%,-1.73%,0.83%,-5.00%
190,JRO,$10.21,$9.68,$10.48,$8.78,$10.35,$10.29,$10.46,$10.07,-1.35%,-5.92%,-1.35%,-12.02%
191,DSM,$8.26,$8.12,$8.59,$7.59,$8.33,$8.41,$8.60,$8.22,-0.60%,-3.37%,0.48%,-7.91%
192,HIX,$6.91,$7.13,$7.75,$6.64,$6.81,$7.11,$7.29,$6.79,1.47%,0.31%,7.94%,-6.52%
193,PMX,$12.23,$12.50,$13.30,$11.46,$11.29,$11.43,$11.74,$11.11,8.33%,9.37%,14.71%,4.13%
194,BYM,$15.69,$15.52,$16.79,$14.60,$15.55,$15.87,$16.23,$15.54,0.90%,-2.23%,1.57%,-7.45%
195,CEM,$29.16,$26.21,$32.57,$18.17,$34.99,$30.66,$37.11,$22.29,-16.66%,-14.60%,-10.57%,-19.14%
196,AEF,$7.93,$8.59,$9.22,$7.63,$8.57,$9.69,$10.48,$8.53,-8.28%,-11.31%,-7.39%,-15.91%
197,RMM,$20.00,$19.83,$21.97,$17.62,$20.26,$20.23,$20.87,$19.50,-1.28%,-2.01%,6.00%,-9.60%
198,FMO,$11.19,$10.48,$14.25,$6.37,$12.96,$11.67,$14.08,$7.91,-13.66%,-10.51%,-0.78%,-27.26%
199,ASA,$20.40,$21.21,$24.70,$18.31,$24.56,$24.76,$28.58,$20.99,-16.94%,-14.28%,-10.09%,-18.84%
200,FOF,$14.50,$13.97,$15.78,$12.40,$14.07,$13.82,$14.41,$12.70,3.06%,1.05%,6.38%,-3.71%
201,CPZ,$19.91,$19.93,$21.63,$17.15,$21.67,$21.76,$23.27,$19.77,-8.12%,-8.41%,-3.12%,-14.92%
202,MMT,$6.37,$6.38,$6.65,$6.08,$6.00,$6.23,$6.45,$5.99,6.17%,2.37%,9.14%,-4.50%
203,NCZ,$5.02,$5.19,$5.51,$4.69,$5.29,$5.67,$6.02,$5.29,-5.10%,-8.35%,-4.33%,-13.48%
