,0,1,2,3,4,5,6,7,8,9,10,11,12
0,Cef Ticker,Current price,52 Wk Avg price,52 Wk High price,52 Wk Low price,Current Nav,52 Wk Avg Nav,52 Wk High Nav,52 Wk Low Nav,Current P/D,52 Wk Avg P/D,52 Wk High P/D,52 Wk Low P/D
288,ETX,$21.28,$22.45,$25.75,$21.00,$21.27,$21.71,$22.08,$21.27,0.05%,3.40%,9.55%,-0.42%
289,GRX,$13.31,$13.09,$14.25,$11.83,$14.85,$14.96,$15.95,$13.69,-10.37%,-12.56%,-10.37%,-14.91%
290,NSL,$5.96,$5.75,$6.09,$5.22,$6.14,$6.11,$6.21,$5.98,-2.93%,-5.87%,-0.98%,-11.37%
291,IVH,$13.87,$13.77,$14.34,$12.81,$14.83,$14.94,$15.27,$14.66,-6.61%,-7.84%,-4.37%,-11.82%
292,FLC,$22.61,$23.76,$25.34,$22.17,$22.31,$22.57,$23.15,$21.77,1.34%,5.27%,12.90%,0.40%
293,IGI,$21.01,$21.75,$23.77,$20.50,$21.10,$21.65,$22.11,$21.04,-0.43%,0.48%,6.69%,-2.88%
294,FDEU,$13.30,$13.01,$14.00,$11.66,$15.38,$14.72,$15.51,$13.38,-13.52%,-11.64%,-8.40%,-15.43%
295,DHF,$3.10,$3.20,$3.77,$2.93,$3.24,$3.30,$3.35,$3.21,-4.32%,-2.86%,8.96%,-10.67%
296,IDE,$11.92,$12.29,$13.90,$10.46,$12.94,$12.89,$13.46,$11.89,-7.88%,-4.69%,6.25%,-14.33%
297,JCO,$8.14,$8.30,$8.79,$8.05,$8.15,$8.27,$8.36,$8.14,-0.12%,0.45%,5.29%,-2.29%
298,MYJ,$15.45,$15.41,$16.45,$13.97,$15.84,$16.14,$16.43,$15.81,-2.46%,-4.51%,0.12%,-11.60%
299,JOF,$7.87,$8.96,$9.63,$7.70,$9.07,$10.28,$11.16,$8.94,-13.23%,-12.84%,-9.67%,-16.02%
300,IHIT,$9.27,$9.54,$10.12,$8.47,$9.30,$9.31,$9.51,$8.85,-0.32%,2.50%,6.50%,-3.61%
301,AIF,$15.43,$15.31,$16.12,$14.22,$16.52,$16.63,$16.86,$16.37,-6.88%,-7.91%,-3.98%,-13.02%
302,EHI,$9.82,$10.26,$10.83,$9.63,$10.16,$10.60,$10.85,$10.14,-3.35%,-3.25%,1.15%,-6.88%
303,BSL,$16.40,$16.02,$17.53,$14.32,$16.24,$16.40,$16.58,$16.04,0.99%,-2.33%,5.86%,-10.02%
304,ENX,$12.11,$12.40,$13.05,$11.83,$13.23,$13.45,$13.74,$13.17,-8.47%,-7.77%,-2.42%,-11.06%
305,EFL,$9.30,$9.36,$10.05,$8.86,$9.32,$9.31,$9.36,$9.25,-0.21%,0.54%,6.24%,-3.14%
306,VBF,$19.08,$20.21,$21.42,$19.08,$19.83,$20.85,$21.33,$19.83,-3.78%,-3.08%,1.78%,-6.81%
307,MPA,$16.15,$15.61,$17.50,$14.10,$16.12,$16.33,$16.66,$15.96,0.19%,-4.39%,6.02%,-11.42%
308,GGT,$8.50,$9.57,$11.59,$8.03,$8.13,$8.91,$9.76,$7.82,4.55%,7.27%,22.80%,-3.26%
309,RIV,$16.62,$17.49,$18.75,$15.67,$16.28,$16.94,$17.36,$15.98,2.09%,3.23%,9.91%,-2.71%
310,INSI,$19.88,$21.21,$23.27,$19.87,$20.81,$21.62,$22.12,$20.81,-4.47%,-1.89%,6.49%,-6.87%
311,HYB,$9.06,$9.30,$10.44,$8.71,$9.78,$9.90,$10.06,$9.36,-7.36%,-6.07%,4.04%,-11.60%
312,HGLB,$9.61,$8.74,$10.02,$6.41,$11.65,$11.44,$12.12,$10.22,-17.51%,-23.82%,-15.52%,-37.17%
313,TEAF,$15.15,$14.45,$15.30,$13.17,$17.32,$17.03,$17.86,$16.06,-12.53%,-15.17%,-10.89%,-21.63%
314,FT,$8.20,$8.04,$8.79,$7.31,$8.87,$8.78,$9.03,$8.35,-7.55%,-8.47%,-3.05%,-14.03%
315,PIM,$3.90,$4.13,$4.47,$3.84,$3.93,$4.24,$4.57,$3.87,-0.76%,-2.54%,2.31%,-8.53%
316,HIE,$10.65,$9.80,$10.76,$7.77,$11.69,$10.61,$11.69,$8.65,-8.90%,-7.65%,-4.14%,-11.53%
317,BNY,$14.85,$15.04,$16.50,$14.28,$14.78,$15.08,$15.41,$14.73,0.47%,-0.24%,7.06%,-5.54%
318,NIQ,$14.63,$14.74,$15.70,$14.18,$14.77,$14.91,$15.13,$14.64,-0.95%,-1.13%,1.23%,-3.61%
319,CHN,$18.33,$28.27,$34.99,$17.70,$19.54,$31.46,$38.64,$19.36,-6.19%,-10.15%,-4.41%,-14.65%
320,PFD,$16.69,$17.23,$20.23,$15.28,$14.77,$14.84,$15.21,$14.28,13.03%,16.22%,36.62%,2.61%
321,BGX,$14.73,$14.59,$15.59,$13.46,$15.24,$15.41,$15.58,$15.10,-3.35%,-5.32%,0.00%,-10.20%
322,GER,$11.13,$10.45,$12.58,$8.16,$13.72,$12.70,$14.47,$10.49,-18.88%,-17.79%,-12.79%,-22.64%
323,BTA,$13.88,$13.53,$15.44,$12.17,$13.29,$13.40,$13.79,$12.95,4.44%,0.93%,13.20%,-5.35%
324,IGA,$10.19,$9.69,$10.71,$8.55,$10.85,$10.55,$11.14,$9.83,-6.08%,-8.18%,-3.70%,-13.21%
325,CTR,$25.79,$22.81,$28.51,$15.72,$31.62,$27.76,$33.66,$20.25,-18.44%,-17.96%,-14.39%,-22.75%
326,CBH,$10.09,$10.30,$11.05,$9.51,$9.93,$10.51,$10.86,$9.93,1.61%,-2.01%,5.14%,-7.45%
327,NAZ,$15.69,$15.70,$16.25,$14.77,$15.16,$15.33,$15.58,$15.05,3.50%,2.45%,6.41%,-2.34%
328,MSD,$8.95,$9.22,$9.70,$8.83,$9.74,$10.22,$10.53,$9.74,-8.11%,-9.74%,-6.38%,-14.11%
329,CIK,$3.43,$3.42,$3.64,$3.13,$3.42,$3.47,$3.52,$3.40,1.17%,-1.26%,3.71%,-8.43%
330,DMF,$8.78,$9.09,$9.97,$8.48,$9.22,$9.38,$9.61,$9.18,-4.77%,-3.09%,7.20%,-7.24%
331,NHS,$12.16,$12.70,$13.57,$11.67,$12.16,$12.55,$12.85,$12.00,0.00%,1.17%,7.23%,-7.70%
332,ACP,$10.33,$11.27,$12.67,$9.88,$10.31,$11.07,$11.71,$10.14,0.00%,1.85%,9.06%,-6.19%
333,ASGI,$20.39,$20.44,$23.00,$18.75,$22.62,$22.69,$23.87,$20.86,-10.57%,-9.96%,-5.83%,-13.16%
